SubjectCode,CourseNo\.,InstrType,InstrMethod,Sec,CRN_URL,CRN,CourseTitle,Days_Time._,Days_Time.realName,Days_Time1._,Days_Time1.realName,Instructor
ARCH,481,Studio-Lecture,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12586?crseNumb=481,12586,Architecture Studio 4A,T,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Nancy R Trainer
ARCH,481,Studio-Lecture,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/15180?crseNumb=481,15180,Architecture Studio 4A,T,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,STAFF
ARCH,487,Studio-Lecture,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12226?crseNumb=487,12226,Architecture Studio 5A,W,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Antonio Martinez-Molina
ARCH,487,Studio-Lecture,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12227?crseNumb=487,12227,Architecture Studio 5A,W,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Thomas P Kirchner
ARCH,487,Studio-Lecture,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13026?crseNumb=487,13026,Architecture Studio 5A,W,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Bunny Tucker
ARCH,493,Thesis,Face To Face,001,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/12839?crseNumb=493,12839,Senior Project I,M,Days _ Time,06:00 pm - 08:50 pm,Days _ Time1,Stephanie C Feldman
ARCH,493,Thesis,Face To Face,002,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13028?crseNumb=493,13028,Senior Project I,M,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Joanne Aitken
ARCH,493,Thesis,Face To Face,003,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13029?crseNumb=493,13029,Senior Project I,M,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Catherine G Broh
ARCH,493,Thesis,Face To Face,004,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13030?crseNumb=493,13030,Senior Project I,M,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,John T Defazio
ARCH,493,Thesis,Face To Face,005,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13031?crseNumb=493,13031,Senior Project I,M,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Don M Jones
ARCH,493,Thesis,Face To Face,006,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13032?crseNumb=493,13032,Senior Project I,M,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Richard King
ARCH,493,Thesis,Face To Face,007,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13033?crseNumb=493,13033,Senior Project I,M,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Jeffrey F Krieger
ARCH,493,Thesis,Face To Face,008,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13034?crseNumb=493,13034,Senior Project I,M,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Robert E Nalls
ARCH,493,Thesis,Face To Face,009,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/13035?crseNumb=493,13035,Senior Project I,M,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Simon J Tickell
ARCH,493,Thesis,Face To Face,010,https://termmasterschedule.drexel.edu/webtms_du/courseDetails/14768?crseNumb=493,14768,Senior Project I,M,Days _ Time,06:00 pm - 09:50 pm,Days _ Time1,Kelly F Vresilovic
